City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Narsaq,GL,2022-11-22 21:09:25,60.9167,-46.05,32.22,74,100,6.98
1,Albany,US,2022-11-22 21:09:27,42.6001,-73.9662,42.44,51,95,2.57
2,Lyubashivka,UA,2022-11-22 21:09:28,47.8372,30.2598,35.67,82,96,2.82
3,Busselton,AU,2022-11-22 21:09:28,-33.65,115.3333,61.38,76,2,5.21
4,Hilo,US,2022-11-22 21:09:28,19.7297,-155.09,77.61,65,75,9.22
5,Punta Arenas,CL,2022-11-22 21:09:29,-53.15,-70.9167,62.71,42,0,27.63
6,Togur,RU,2022-11-22 21:09:29,58.3631,82.8265,0.72,94,100,12.01
7,Atuona,PF,2022-11-22 21:09:30,-9.8,-139.0333,78.39,76,2,16.6
8,Port Alfred,ZA,2022-11-22 21:09:30,-33.5906,26.891,66.18,90,86,12.93
9,Micheweni,TZ,2022-11-22 21:09:30,-4.9667,39.8333,78.48,88,37,10.76
10,Saint-Pierre,RE,2022-11-22 21:09:31,-21.3393,55.4781,74.88,78,100,5.75
11,Arraial Do Cabo,BR,2022-11-22 21:09:31,-22.9661,-42.0278,76.86,78,40,24.16
12,Lebu,CL,2022-11-22 21:09:32,-37.6167,-73.65,61.05,78,24,14.76
13,East London,ZA,2022-11-22 21:09:32,-33.0153,27.9116,65.93,90,70,6.2
14,Pevek,RU,2022-11-22 21:09:32,69.7008,170.3133,-24.77,100,100,6.46
15,Tuktoyaktuk,CA,2022-11-22 21:09:33,69.4541,-133.0374,11.52,95,100,11.45
16,Vostok,RU,2022-11-22 21:09:34,46.4856,135.8833,6.01,94,5,4.41
17,Hermanus,ZA,2022-11-22 21:09:34,-34.4187,19.2345,58.8,74,94,7.92
18,Ushuaia,AR,2022-11-22 21:08:20,-54.8,-68.3,58.62,87,75,8.05
19,Bengkulu,ID,2022-11-22 21:09:35,-3.8004,102.2655,75.18,92,100,11.48
20,Mecca,SA,2022-11-22 21:09:35,21.4267,39.8261,80.29,62,92,2.3
21,Sitka,US,2022-11-22 21:07:57,57.0531,-135.33,44.49,81,100,11.5
22,Grand Gaube,MU,2022-11-22 21:09:36,-20.0064,57.6608,73.38,78,1,1.99
23,Leua,SK,2022-11-22 21:09:36,48.2156,18.6071,41.5,69,100,13.0
24,Ponta Do Sol,PT,2022-11-22 21:06:09,32.6667,-17.1,68.72,77,56,3.2
25,Broome,US,2022-11-22 21:09:37,42.2506,-75.833,44.1,53,0,5.75
26,Bogande,BF,2022-11-22 21:09:37,12.9714,-0.1436,78.17,16,78,7.81
27,Takoradi,GH,2022-11-22 21:09:37,4.8845,-1.7554,79.7,81,48,7.11
28,Chokurdakh,RU,2022-11-22 21:09:38,70.6333,147.9167,-33.99,100,87,2.3
29,Arlit,NE,2022-11-22 21:09:38,18.7369,7.3853,73.94,17,100,8.46
30,Cape Town,ZA,2022-11-22 21:07:08,-33.9258,18.4232,65.26,76,33,1.99
31,Hamilton,US,2022-11-22 21:07:33,39.1834,-84.5333,56.52,30,0,10.36
32,Perth,AU,2022-11-22 21:09:39,-31.9333,115.8333,66.99,79,40,17.27
33,Tallahassee,US,2022-11-22 21:06:56,30.4383,-84.2807,70.0,73,100,6.62
34,Chuy,UY,2022-11-22 21:09:39,-33.6971,-53.4616,63.77,77,79,11.43
35,Samarai,PG,2022-11-22 21:09:39,-10.6167,150.6667,84.29,69,7,15.61
36,Pangoa,PE,2022-11-22 21:09:40,-12.1167,-73.0,72.99,87,100,2.71
37,Mahebourg,MU,2022-11-22 21:09:40,-20.4081,57.7,73.26,83,0,4.29
38,Neiafu,TO,2022-11-22 21:09:40,-18.65,-173.9833,83.08,78,40,6.91
39,Victoria,HK,2022-11-22 21:05:45,22.2855,114.1577,76.17,92,100,8.99
40,Vaini,TO,2022-11-22 21:09:41,-21.2,-175.2,82.56,78,40,11.5
41,Axim,GH,2022-11-22 21:09:41,4.8699,-2.2405,78.91,83,21,7.11
42,Nuuk,GL,2022-11-22 21:09:41,64.1835,-51.7216,23.61,74,75,13.8
43,Tasiilaq,GL,2022-11-22 21:09:42,65.6145,-37.6368,33.96,97,100,23.04
